Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
dn160	ERR349361	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc111	ERR349362	1994	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
dn189	ERR349363	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc93	ERR349364	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn61	ERR349367	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc86	ERR349334	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-7	ERR349370	1993	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ct1-40	ERR349372	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-73	ERR349373	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-17	ERR349375	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt57	ERR349376	1997	Asia	Southeast Asia	Vietnam	Blood	2.3.4	"Wong et al, 2015 (global framework)"
ty3-193	ERR349378	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np45	ERR349335	2011	Asia	South Asia	Nepal	Blood	3.3.0	"Wong et al, 2015 (global framework)"
ct1-3	ERR349381	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-214	ERR349384	1997	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ct1-102	ERR349385	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-34	ERR349387	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt41	ERR349388	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np80	ERR349336	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty1-35	ERR349390	1993	Asia	Southeast Asia	Vietnam	Blood	3.5.0	"Wong et al, 2015 (global framework)"
ty2-120	ERR349392	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-91	ERR349397	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ty2-107	ERR349398	1994	Asia	Southeast Asia	Vietnam	Blood	2.3.2	"Wong et al, 2015 (global framework)"
dtc105	ERR349337	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-32	ERR349400	1993	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ty2-93	ERR349402	1994	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ty2-108	ERR349403	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty1-16	ERR349405	1993	Asia	Southeast Asia	Vietnam	Blood	3.1.0	"Wong et al, 2015 (global framework)"
ty2-80	ERR349406	1994	Asia	Southeast Asia	Vietnam	Blood	3.4.0	"Wong et al, 2015 (global framework)"
dtc153	ERR349338	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-98	ERR349411	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ty2-111	ERR349412	1994	Asia	Southeast Asia	Vietnam	Blood	2.1.7	"Wong et al, 2015 (global framework)"
ty2-99	ERR349415	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
np27	ERR349339	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-86	ERR349423	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
ty1-34	ERR349424	1993	Asia	Southeast Asia	Vietnam	Blood	2.3.3	"Wong et al, 2015 (global framework)"
ty2-75	ERR349426	1994	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
dtc95	ERR349523	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc102	ERR349532	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn163	ERR349533	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn45	ERR349534	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc3	ERR349535	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn15	ERR349536	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn110	ERR349537	1996	Asia	Southeast Asia	Vietnam	Blood	3.4.0	"Wong et al, 2015 (global framework)"
dtc150	ERR349538	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc92	ERR349539	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn10	ERR349541	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc110	ERR349524	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn109	ERR349543	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc138	ERR349545	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc69	ERR349546	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn12	ERR349547	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn108	ERR349548	1996	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn57	ERR349549	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc71	ERR349550	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn20	ERR349551	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3525/3	ERR349525	2011	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
dtc21	ERR349552	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dn28	ERR349553	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt43	ERR349556	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-160	ERR349557	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ipt47	ERR349558	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-166	ERR349559	1994	Asia	Southeast Asia	Vietnam	Blood	2.2.0	"Wong et al, 2015 (global framework)"
ct1-45	ERR349560	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3080/3	ERR349526	2010	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
dty1-75	ERR349562	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-170	ERR349563	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-253	ERR349564	1998	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
as16	ERR349565	1998	Asia	Southeast Asia	Vietnam	Blood	2.3.2	"Wong et al, 2015 (global framework)"
ipt79	ERR349568	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-86	ERR349569	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-23	ERR349570	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
3069/3	ERR349527	2010	Africa	Central Africa	DRC	Blood	2.5.1	"Wong et al, 2015 (global framework)"
ipt76	ERR349571	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-88	ERR349572	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-212	ERR349573	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
as257	ERR349575	1999	Asia	Southeast Asia	Vietnam	Blood	3.2.1	"Wong et al, 2015 (global framework)"
dty1-89	ERR349576	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-65	ERR349578	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-46	ERR349579	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-91	ERR349580	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
np61	ERR349528	2011	Asia	South Asia	Nepal	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-58	ERR349581	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-93	ERR349582	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ct1-33	ERR349583	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dty1-67	ERR349584	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty3-215	ERR349585	1997	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-76	ERR349588	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-17	ERR349590	1993	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-90	ERR349591	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-139	ERR349592	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-123	ERR349593	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-144	ERR349595	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-146	ERR349597	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-100	ERR349599	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-114	ERR349600	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-131	ERR349601	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-71	ERR349602	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-101	ERR349603	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-115	ERR349604	1994	Asia	Southeast Asia	Vietnam	Blood	4.1.0	"Wong et al, 2015 (global framework)"
ty2-132	ERR349605	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-150	ERR349606	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-153	ERR349609	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
dtc139	ERR349531	1995	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-103	ERR349613	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-134	ERR349615	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-104	ERR349616	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
ty2-155	ERR349617	1994	Asia	Southeast Asia	Vietnam	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST106	ERR352254	2006	Asia	Western Asia	Lebanon	Blood	3.1.0	"Wong et al, 2015 (global framework)"
MDUST139	ERR352263	2012	Asia	Southeast Asia	Myanmar	Stool	3.3.1	"Wong et al, 2015 (global framework)"
MDUST141	ERR352264	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST145	ERR352265	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST147	ERR352266	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST149	ERR352267	2012	Asia	South Asia	India	Blood	3.0.2	"Wong et al, 2015 (global framework)"
MDUST151	ERR352268	2012	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST154	ERR352269	2011	Asia	East Asia	China	Stool	2.3.4	"Wong et al, 2015 (global framework)"
MDUST158	ERR352270	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST161	ERR352271	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST166	ERR352272	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST115	ERR352255	2009	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST169	ERR352273	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST182	ERR352274	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST185	ERR352275	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST187	ERR352276	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST196	ERR352277	2011	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST197	ERR352278	2010	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST198	ERR352279	2010	Asia	Southeast Asia	Myanmar	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST199	ERR352280	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST200	ERR352281	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST206	ERR352282	2010	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST120	ERR352256	2009	Europe	Southern Europe	Malta	Stool	3.1.0	"Wong et al, 2015 (global framework)"
MDUST211	ERR352283	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST216	ERR352284	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST217	ERR352285	2011	Asia	South Asia	India	Blood	3.2.1	"Wong et al, 2015 (global framework)"
MDUST223	ERR352286	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST226	ERR352287	2010	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST229	ERR352288	2010	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST231	ERR352289	2010	Asia	Western Asia	Lebanon	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST234	ERR352290	2010	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST237	ERR352291	2010	Asia	South Asia	Nepal	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST239	ERR352292	2011	Unknown	Unknown 	Unknown	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST121	ERR352257	2010	Australia & Oceania	Australia 	Australia	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST241	ERR352293	2010	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST242	ERR352294	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST243	ERR352295	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST248	ERR352296	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST249	ERR352297	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST252	ERR352298	2010	Asia	South Asia	Bangladesh	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST253	ERR352299	2010	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
MDUST255	ERR352300	2010	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST256	ERR352301	2010	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST257	ERR352302	2010	Asia	Southeast Asia	Indonesia	Blood	2.1.5	"Wong et al, 2015 (global framework)"
MDUST123	ERR352258	2010	Australia & Oceania	Oceania 	Samoa	Blood	3.5.3	"Wong et al, 2015 (global framework)"
MDUST258	ERR352303	2010	Asia	South Asia	Bangladesh	Stool	3.2.2	"Wong et al, 2015 (global framework)"
MDUST259	ERR352304	2010	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST265	ERR352305	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST267	ERR352306	2011	Asia	South Asia	India	Blood	2.5.0	"Wong et al, 2015 (global framework)"
MDUST269	ERR352307	2011	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST270	ERR352308	2011	Asia	South Asia	Bangladesh	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST274	ERR352309	1996	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST295	ERR352310	2010	Asia	Southeast Asia	Indonesia	Blood	2.1.0	"Wong et al, 2015 (global framework)"
MDUST310	ERR352311	1991	Australia & Oceania	Oceania 	Fiji	Stool	3.5.0	"Wong et al, 2015 (global framework)"
MDUST319	ERR352312	1983	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST127	ERR352259	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST326	ERR352313	1992	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST328	ERR352314	1992	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST335	ERR352315	1993	Australia & Oceania	Oceania 	Fiji	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST337	ERR352316	1984	Australia & Oceania	Oceania 	Fiji	Blood	4.2.1	"Wong et al, 2015 (global framework)"
MDUST354	ERR352317	1993	Australia & Oceania	Oceania 	Fiji	Blood	4.2.3	"Wong et al, 2015 (global framework)"
MDUST355	ERR352318	1994	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST361	ERR352319	1998	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST362	ERR352320	1998	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST363	ERR352321	1998	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST364	ERR352322	1999	Australia & Oceania	Oceania 	Papua New Guinea	Stool	2.1.7	"Wong et al, 2015 (global framework)"
MDUST130	ERR352260	2011	Asia	Southeast Asia	Malaysia	Stool	3.0.0	"Wong et al, 2015 (global framework)"
MDUST366	ERR352323	2011	Asia	Western Asia	Iraq	Blood	3.3.1	"Wong et al, 2015 (global framework)"
MDUST382	ERR352324	2011	Asia	South Asia	India	Stool	3.3.1	"Wong et al, 2015 (global framework)"
MDUST385	ERR352325	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST386	ERR352326	2011	Asia	Western Asia	Iraq	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST387	ERR352327	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST391	ERR352328	2011	Asia	South Asia	India	Blood	2.2.0	"Wong et al, 2015 (global framework)"
MDUST393	ERR352329	2011	Asia	South Asia	India	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST396	ERR352330	2012	South America	South America	El Salvador	Stool	2.3.2	"Wong et al, 2015 (global framework)"
MDUST397	ERR352331	2011	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST403	ERR352332	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST133	ERR352261	2011	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST404	ERR352333	2012	Australia & Oceania	Oceania 	Fiji	Blood	4.2.2	"Wong et al, 2015 (global framework)"
MDUST406	ERR352334	2012	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST408	ERR352335	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST410	ERR352336	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST411	ERR352337	2011	Unknown	Unknown 	Unknown	Blood	4.1.0	"Wong et al, 2015 (global framework)"
MDUST412	ERR352338	2011	Asia	South Asia	Nepal	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST418	ERR352339	2011	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST135	ERR352262	2011	Australia & Oceania	Oceania 	Tonga	Blood	2.3.5	"Wong et al, 2015 (global framework)"
MDUST108	ERR352426	2007	Africa	West Africa	Liberia	Stool	3.1.0	"Wong et al, 2015 (global framework)"
MDUST129	ERR352435	2011	Asia	Southeast Asia	Phillipines	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST131	ERR352436	2011	Unknown	Unknown 	Unknown	Blood	3.3.0	"Wong et al, 2015 (global framework)"
MDUST132	ERR352437	2011	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST136	ERR352438	2011	Asia	South Asia	India	Blood	3.3.1	"Wong et al, 2015 (global framework)"
MDUST140	ERR352439	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST143	ERR352440	2012	Asia	South Asia	India	Stool	2.2.1	"Wong et al, 2015 (global framework)"
MDUST150	ERR352441	2012	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
MDUST152	ERR352442	2012	Africa	Africa 	Africa	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST153	ERR352443	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST156	ERR352444	2012	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST109	ERR352427	2007	Australia & Oceania	Oceania 	Papua New Guinea	Blood	2.1.7	"Wong et al, 2015 (global framework)"
MDUST157	ERR352445	2012	Asia	South Asia	Nepal	Stool	4.3.1	"Wong et al, 2015 (global framework)"
MDUST159	ERR352446	2012	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST162	ERR352447	2011	Unknown	Unknown 	Unknown	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST163	ERR352448	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST168	ERR352449	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST174	ERR352451	2011	Asia	South Asia	Sri Lanka	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST175	ERR352452	2011	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST177	ERR352453	2011	Unknown	Unknown 	Unknown	Urine	1.1.4	"Wong et al, 2015 (global framework)"
MDUST179	ERR352454	2011	Asia	South Asia	India	Blood	3.2.2	"Wong et al, 2015 (global framework)"
MDUST113	ERR352428	2009	Asia	Western Asia	Lebanon	Blood	2.2.1	"Wong et al, 2015 (global framework)"
MDUST183	ERR352455	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST184	ERR352456	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST194	ERR352457	2011	Asia	South Asia	India	Blood	3.2.2	"Wong et al, 2015 (global framework)"
MDUST201	ERR352458	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST202	ERR352459	2010	Asia	South Asia	Bangladesh	Blood	2.0.0	"Wong et al, 2015 (global framework)"
MDUST203	ERR352460	2010	Asia	South Asia	Bangladesh	Blood	2.0.0	"Wong et al, 2015 (global framework)"
MDUST204	ERR352461	2010	Asia	South Asia	Bangladesh	Blood	2.0.0	"Wong et al, 2015 (global framework)"
MDUST205	ERR352462	2010	Asia	South Asia	Bangladesh	Blood	2.0.0	"Wong et al, 2015 (global framework)"
MDUST207	ERR352463	2010	Asia	South Asia	Pakistan	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST214	ERR352464	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST116	ERR352429	2009	Australia & Oceania	Oceania 	Samoa	Blood	3.5.4	"Wong et al, 2015 (global framework)"
MDUST215	ERR352465	2011	Asia	South Asia	India	Stool	3.0.0	"Wong et al, 2015 (global framework)"
MDUST220	ERR352466	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST222	ERR352467	2011	Asia	Southeast Asia	Indonesia	Blood	2.1.5	"Wong et al, 2015 (global framework)"
MDUST232	ERR352468	2010	Asia	South Asia	Bangladesh	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST235	ERR352469	2010	Asia	Southeast Asia	Vietnam	Stool	3.2.1	"Wong et al, 2015 (global framework)"
MDUST236	ERR352470	2010	Asia	Southeast Asia	Thailand	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST244	ERR352471	2011	Asia	South Asia	India	Blood	4.3.1	"Wong et al, 2015 (global framework)"
MDUST246	ERR352472	2011	Asia	Southeast Asia	Indonesia	Blood	2.1.0	"Wong et al, 2015 (global framework)"
