sample	BioHansel subtype scheme Typhi_v1.2.0	avg_kmer_coverage	qc_status	qc_message	Corresponding Wong et al genotype for BioHansel subtype	Genotype reported in Wong et al publication for this accession ID	IF FAIL QC: Final BioHansel subtype with highest k-mer coverage in dataset (Wong et al. genotype code; coverage)	IF FAIL QC: Minor contaminant k-mer subtype in dataset causing mixed subtype QC call (Wong et al. genotype code; coverage)
ERR360690	2.3.1.1	38.319	PASS		Typhi_3.1.1	3.1.1		
ERR360632	2.3.1.1	42.797	PASS		Typhi_3.1.1	3.1.1		
ERR360670	2.3.1.1	40.029	PASS		Typhi_3.1.1	3.1.1		
ERR360641	2.3.1.1	36.279	PASS		Typhi_3.1.1	3.1.1		
ERR360671	2.3.1.1	43.443	PASS		Typhi_3.1.1	3.1.1		
ERR360625	2.3.1.1	46.754	PASS		Typhi_3.1.1	3.1.1		
ERR360523	2.3.1.1	39.118	PASS		Typhi_3.1.1	3.1.1		
ERR1017078	2.3.1.1	36.188	PASS		Typhi_3.1.1	3.1.1		
ERR360686	2.3.1.1	40.882	PASS		Typhi_3.1.1	3.1.1		
ERR360687	2.3.1.1	32.638	PASS		Typhi_3.1.1	3.1.1		
ERR360621	2.3.1.1	40.941	PASS		Typhi_3.1.1	3.1.1		
ERR360630	2.3.1.1	37.941	PASS		Typhi_3.1.1	3.1.1		
ERR360643	2.3.1.1	41.464	PASS		Typhi_3.1.1	3.1.1		
ERR360488	2.3.1.1	36.25	PASS		Typhi_3.1.1	3.1.1		
ERR360495	2.3.1.1	36.13	PASS		Typhi_3.1.1	3.1.1		
ERR338067	2.3.1.2	46.338	PASS		Typhi_3.1.2	3.1.2		
ERR343291	2.3.1.2	27.794	PASS		Typhi_3.1.2	3.1.2		
ERR331233	2.3.1.2	56.183	PASS		Typhi_3.1.2	3.1.2		
ERR352299	2.3.1.2	36.971	PASS		Typhi_3.1.2	3.1.2		
ERR326634	2.3.1.2	56.257	PASS		Typhi_3.1.2	3.1.2		
ERR326639	2.3.1.2	54.507	PASS		Typhi_3.1.2	3.1.2		
ERR338051	2.3.1.2	52.192	PASS		Typhi_3.1.2	3.1.2		
ERR326632	2.3.1.2	48.878	PASS		Typhi_3.1.2	3.1.2		
ERR343326	2.3.1.2	22.771	PASS		Typhi_3.1.2	3.1.2		
ERR338058	2.3.1.2	48.347	PASS		Typhi_3.1.2	3.1.2		
ERR326619	2.3.1.2	54.155	PASS		Typhi_3.1.2	3.1.2		
ERR338060	2.3.1.2	43.054	PASS		Typhi_3.1.2	3.1.2		
ERR338068	2.3.1.2	44.139	PASS		Typhi_3.1.2	3.1.2		
ERR326616	2.3.1.2	56.681	PASS		Typhi_3.1.2	3.1.2		
ERR343256	2.3.1.2	26.515	PASS		Typhi_3.1.2	3.1.2		
ERR326656	2.3.1.2	43.944	PASS		Typhi_3.1.2	3.1.2		
ERR331226	2.3.1.2	55.169	PASS		Typhi_3.1.2	3.1.2		
ERR338062	2.3.1.2	43.029	PASS		Typhi_3.1.2	3.1.2		
ERR326611	2.3.1.2	42.356	PASS		Typhi_3.1.2	3.1.2		
ERR343287	2.3.1.2	22.618	PASS		Typhi_3.1.2	3.1.2		
ERR331220	2.3.1.2	68.309	PASS		Typhi_3.1.2	3.1.2		
ERR338065	2.3.1.2	46.25	PASS		Typhi_3.1.2	3.1.2		
ERR331242	2.3.1.2	49.303	PASS		Typhi_3.1.2	3.1.2		
ERR326630	2.3.1.2	47.397	PASS		Typhi_3.1.2	3.1.2		
ERR349397	2.3.2.1	33.926	PASS		Typhi_3.2.1	3.2.1		
ERR360642	2.3.2.1	43.957	PASS		Typhi_3.2.1	3.2.1		
ERR331363	2.3.2.1	45.829	PASS		Typhi_3.2.1	3.2.1		
ERR331323	2.3.2.1	50.113	PASS		Typhi_3.2.1	3.2.1		
ERR319418	2.3.2.1	51.362	PASS		Typhi_3.2.1	3.2.1		
ERR331364	2.3.2.1	47.348	PASS		Typhi_3.2.1	3.2.1		
ERR349423	2.3.2.1	27.574	PASS		Typhi_3.2.1	3.2.1		
ERR331306	2.3.2.1	45.861	PASS		Typhi_3.2.1	3.2.1		
ERR331324	2.3.2.1	50.246	PASS		Typhi_3.2.1	3.2.1		
ERR331354	2.3.2.1	37.845	PASS		Typhi_3.2.1	3.2.1		
ERR357648	2.3.2.1	48.667	PASS		Typhi_3.2.1	3.2.1		
ERR331303	2.3.2.1	47.286	PASS		Typhi_3.2.1	3.2.1		
ERR331332	2.3.2.1	44.833	PASS		Typhi_3.2.1	3.2.1		
ERR331305	2.3.2.1	36.014	PASS		Typhi_3.2.1	3.2.1		
ERR340785	2.3.2.1	93.667	PASS		Typhi_3.2.1	3.2.1		
ERR331308	2.3.2.1	42.972	PASS		Typhi_3.2.1	3.2.1		
ERR349575	2.3.2.1	34.382	PASS		Typhi_3.2.1	3.2.1		
ERR357667	2.3.2.1	33.696	PASS		Typhi_3.2.1	3.2.1		
ERR349370	2.3.2.1	29.348	PASS		Typhi_3.2.1	3.2.1		
ERR357825	2.3.2.1	37.647	PASS		Typhi_3.2.1	3.2.1		
ERR340801	2.3.2.1	100.528	PASS		Typhi_3.2.1	3.2.1		
ERR349400	2.3.2.1	33.706	PASS		Typhi_3.2.1	3.2.1		
ERR340769	2.3.2.1	97.618	PASS		Typhi_3.2.1	3.2.1		
ERR352687	2.3.2.1	36.368	PASS		Typhi_3.2.1	3.2.1		
ERR331304	2.3.2.1	44.521	PASS		Typhi_3.2.1	3.2.1		
ERR319462	2.3.2.1	48.353	PASS		Typhi_3.2.1	3.2.1		
ERR331321	2.3.2.1	54.797	PASS		Typhi_3.2.1	3.2.1		
ERR340786	2.3.2.1	83.9	PASS		Typhi_3.2.1	3.2.1		
ERR349415	2.3.2.1	29.279	PASS		Typhi_3.2.1	3.2.1		
ERR331341	2.3.2.1	41.486	PASS		Typhi_3.2.1	3.2.1		
ERR340811	2.3.2.1	69.653	PASS		Typhi_3.2.1	3.2.1		
ERR349411	2.3.2.1	32.338	PASS		Typhi_3.2.1	3.2.1		
ERR340788	2.3.2.1	94.877	PASS		Typhi_3.2.1	3.2.1		
ERR340805	2.3.2.1	78.545	PASS		Typhi_3.2.1	3.2.1		
ERR331353	2.3.2.1	35.101	PASS		Typhi_3.2.1	3.2.1		
ERR352253	2.3.2.1	63.942	PASS		Typhi_3.2.1	3.2.1		
ERR340765	2.3.2.1	87.397	PASS		Typhi_3.2.1	3.2.1		
ERR331311	2.3.2.1	47.356	PASS		Typhi_3.2.1	3.2.1		
ERR352699	2.3.2.1	37.279	PASS		Typhi_3.2.1	3.2.1		
ERR352469	2.3.2.1	50.662	PASS		Typhi_3.2.1	3.2.1		
ERR340793	2.3.2.1	116.378	PASS		Typhi_3.2.1	3.2.1		
ERR352285	2.3.2.1	36.493	PASS		Typhi_3.2.1	3.2.1		
ERR349426	2.3.2.1	28.426	PASS		Typhi_3.2.1	3.2.1		
ERR422820	2.3.2.2	36.812	PASS		Typhi_3.2.2	3.2.2		
ERR352303	2.3.2.2	42	PASS		Typhi_3.2.2	3.2.2		
ERR357607	2.3.2.2	39.574	PASS		Typhi_3.2.2	3.2.2		
ERR352454	2.3.2.2	51.87	PASS		Typhi_3.2.2	3.2.2		
ERR360473	2.3.2.2	33.118	PASS		Typhi_3.2.2	3.2.2		
ERR360463	2.3.2.2	43.662	PASS		Typhi_3.2.2	3.2.2		
ERR357780	2.3.2.2	35.671	PASS		Typhi_3.2.2	3.2.2		
ERR360477	2.3.2.2	39.529	PASS		Typhi_3.2.2	3.2.2		
ERR360475	2.3.2.2	36.706	PASS		Typhi_3.2.2	3.2.2		
ERR1017088	2.3.2.2	32.309	PASS		Typhi_3.2.2	3.2.2		
ERR352457	2.3.2.2	47.71	PASS		Typhi_3.2.2	3.2.2		
ERR422832	2.3.2.2	36.176	PASS		Typhi_3.2.2	3.2.2		
ERR337986	2.3.2.2	42.125	PASS		Typhi_3.2.2	3.2.2		
ERR343293	2.3.2.2	27.397	PASS		Typhi_3.2.2	3.2.2		
ERR357577	2.3.3	48.279	PASS		Typhi_3.3.0	3.3.0		
ERR352298	2.3.3	44.912	PASS		Typhi_3.3.0	3.3.0		
ERR422767	2.3.3	35.824	PASS		Typhi_3.3.0	3.3.0		
ERR357595	2.3.3	37.735	PASS		Typhi_3.3.0	3.3.0		
ERR422772	2.3.3	36.247	PASS		Typhi_3.3.0	3.3.0		
ERR352436	2.3.3	50.522	PASS		Typhi_3.3.0	3.3.0		
ERR357612	2.3.3	34.397	PASS		Typhi_3.3.0	3.3.0		
ERR357774	2.3.3	45.265	PASS		Typhi_3.3.0	3.3.0		
ERR357772	2.3.3	39.926	PASS		Typhi_3.3.0	3.3.0		
ERR349335	2.3.3	30.5	PASS		Typhi_3.3.0	3.3.0		
ERR337982	2.3.3	46.842	PASS		Typhi_3.3.0	3.3.0		
ERR422768	2.3.3	35.58	PASS		Typhi_3.3.0	3.3.0		
ERR343330	2.3.3	26.235	PASS		Typhi_3.3.0	3.3.0		
ERR337981	2.3.3	46.863	PASS		Typhi_3.3.0	3.3.0		
ERR337985	2.3.3	38.853	PASS		Typhi_3.3.0	3.3.0		
ERR1017091	2.3.3	40.884	PASS		Typhi_3.3.0	3.3.0		
ERR343264	2.3.3	28.797	PASS		Typhi_3.3.0	3.3.0		
ERR337991	2.3.3	47.153	PASS		Typhi_3.3.0	3.3.0		
ERR360490	2.3.3	35.765	PASS		Typhi_3.3.0	3.3.0		
ERR337988	2.3.3	45.027	PASS		Typhi_3.3.0	3.3.0		
ERR337992	2.3.3	45.324	PASS		Typhi_3.3.0	3.3.0		
ERR360515	2.3.3	38.544	PASS		Typhi_3.3.0	3.3.0		
ERR422822	2.3.3	37.246	PASS		Typhi_3.3.0	3.3.0		
ERR357600	2.3.3	39.221	PASS		Typhi_3.3.0	3.3.0		
ERR360465	2.3.3	38.809	PASS		Typhi_3.3.0	3.3.0		
ERR1017095	2.3.3	29.485	PASS		Typhi_3.3.0	3.3.0		
ERR357757	2.3.3	41.739	PASS		Typhi_3.3.0	3.3.0		
ERR352290	2.3.3	34.729	PASS		Typhi_3.3.0	3.3.0		
ERR422771	2.3.3	38.014	PASS		Typhi_3.3.0	3.3.0		
ERR422774	2.3.3	36.507	PASS		Typhi_3.3.0	3.3.0		
ERR422773	2.3.3	38.103	PASS		Typhi_3.3.0	3.3.0		
ERR357777	2.3.3	40.42	PASS		Typhi_3.3.0	3.3.0		
ERR422754	2.3.3	42.853	PASS		Typhi_3.3.0	3.3.0		
ERR422769	2.3.3	30.043	PASS		Typhi_3.3.0	3.3.0		
ERR1017055	2.3.3	30.261	PASS		Typhi_3.3.0	3.3.0		
ERR352942	2.3.3	49.314	PASS		Typhi_3.3.0	3.3.0		
ERR357779	2.3.3	45.515	PASS		Typhi_3.3.0	3.3.0		
ERR337983	2.3.3	40.103	PASS		Typhi_3.3.0	3.3.0		
ERR485145	2.3.3	50.333	PASS		Typhi_3.3.0	3.3.0		
ERR337979	2.3.3	56.648	PASS		Typhi_3.3.0	3.3.0		
ERR485147	2.3.3	57.1	PASS		Typhi_3.3.0	3.3.0		
ERR420433	2.3.3	64	PASS		Typhi_3.3.0	3.3.0		
ERR357770	2.3.3	41.319	PASS		Typhi_3.3.0	3.3.0		
ERR485140	2.3.3	55.632	PASS		Typhi_3.3.0	3.3.0		
ERR352324	2.3.3.1	44.691	PASS		Typhi_3.3.1	3.3.1		
ERR338039	2.3.3.1	53.2	PASS		Typhi_3.3.1	3.3.1		
ERR108653	2.3.3.1	27.853	PASS		Typhi_3.3.1	3.3.1		
ERR338153	2.3.3.1	62.395	PASS		Typhi_3.3.1	3.3.1		
ERR357762	2.3.3.1	40.941	PASS		Typhi_3.3.1	3.3.1		
ERR331371	2.3.3.1	46.394	PASS		Typhi_3.3.1	3.3.1		
ERR360654	2.3.3.1	34.706	PASS		Typhi_3.3.1	3.3.1		
ERR108681	2.3.3.1	57.768	PASS		Typhi_3.3.1	3.3.1		
ERR108671	2.3.3.1	51.368	PASS		Typhi_3.3.1	3.3.1		
ERR357841	2.3.3.1	36.232	PASS		Typhi_3.3.1	3.3.1		
ERR108680	2.3.3.1	51.159	PASS		Typhi_3.3.1	3.3.1		
ERR279140	2.3.3.1	64.486	PASS		Typhi_3.3.1	3.3.1		
ERR360464	2.3.3.1	42.618	PASS		Typhi_3.3.1	3.3.1		
ERR338030	2.3.3.1	47.783	PASS		Typhi_3.3.1	3.3.1		
ERR108684	2.3.3.1	56.29	PASS		Typhi_3.3.1	3.3.1		
ERR108677	2.3.3.1	43.014	PASS		Typhi_3.3.1	3.3.1		
ERR422778	2.3.3.1	42.662	PASS		Typhi_3.3.1	3.3.1		
ERR352438	2.3.3.1	46.647	PASS		Typhi_3.3.1	3.3.1		
ERR108655	2.3.3.1	37.29	PASS		Typhi_3.3.1	3.3.1		
ERR352323	2.3.3.1	45.618	PASS		Typhi_3.3.1	3.3.1		
ERR360822	2.3.3.1	33.478	PASS		Typhi_3.3.1	3.3.1		
ERR108652	2.3.3.1	28.074	PASS		Typhi_3.3.1	3.3.1		
ERR338031	2.3.3.1	50.357	PASS		Typhi_3.3.1	3.3.1		
ERR1017098	2.3.3.1	35.014	PASS		Typhi_3.3.1	3.3.1		
ERR108672	2.3.3.1	48.072	PASS		Typhi_3.3.1	3.3.1		
ERR357441	2.3.3.1	45.304	PASS		Typhi_3.3.1	3.3.1		
ERR352263	2.3.3.1	36.721	PASS		Typhi_3.3.1	3.3.1		
ERR338027	2.3.3.1	46.391	PASS		Typhi_3.3.1	3.3.1		
ERR108690	2.3.3.1	46.114	PASS		Typhi_3.3.1	3.3.1		
ERR357826	2.3.3.1	42.838	PASS		Typhi_3.3.1	3.3.1		
ERR338162	2.3.3.1	51.129	PASS		Typhi_3.3.1	3.3.1		
ERR338037	2.3.3.1	43.278	PASS		Typhi_3.3.1	3.3.1		
ERR360454	2.3.3.1	46.42	PASS		Typhi_3.3.1	3.3.1		
ERR108692	2.3.3.1	45.1	PASS		Typhi_3.3.1	3.3.1		
ERR279164	2.3.3.1; 2.3.6.3	64.838	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""2.3.3.1; 2.3.6; 2.3.6.3"". | FAIL: Unconfident Results Error 4: Subtype ""2.3.3.1; 2.3.6.3"" was found, but kmers for nested hierarchical subtype(s) "" 2.3.6;  2.3.6.3;  2.3;  2; 2.3.3"" were missing. Due to missing kmers, there is a lack of confidence in the final subtype call."	#N/A	4.3.1	2.3.6.3 (4.3.1; 66X)	2.3.3.1 (3.3.1; 8X)
ERR331345	2.3.4	53.2	PASS		Typhi_3.4.0	3.4.0		
ERR340778	2.3.4	136.701	PASS		Typhi_3.4.0	3.4.0		
ERR326689	2.3.4	49.929	PASS		Typhi_3.4.0	3.4.0		
ERR326676	2.3.4	54.029	PASS		Typhi_3.4.0	3.4.0		
ERR340803	2.3.4	98.486	PASS		Typhi_3.4.0	3.4.0		
ERR326658	2.3.4	43.662	PASS		Typhi_3.4.0	3.4.0		
ERR340782	2.3.4	81.613	PASS		Typhi_3.4.0	3.4.0		
ERR340813	2.3.4	83.37	PASS		Typhi_3.4.0	3.4.0		
ERR326662	2.3.4	51.219	PASS		Typhi_3.4.0	3.4.0		
ERR326661	2.3.4	43.657	PASS		Typhi_3.4.0	3.4.0		
ERR331318	2.3.4	58.75	PASS		Typhi_3.4.0	3.4.0		
ERR331307	2.3.4	41.694	PASS		Typhi_3.4.0	3.4.0		
ERR326659	2.3.4	64.183	PASS		Typhi_3.4.0	3.4.0		
ERR326667	2.3.4	61.353	PASS		Typhi_3.4.0	3.4.0		
ERR326686	2.3.4	39.225	PASS		Typhi_3.4.0	3.4.0		
ERR331320	2.3.4	53.792	PASS		Typhi_3.4.0	3.4.0		
ERR326682	2.3.4	55.365	PASS		Typhi_3.4.0	3.4.0		
ERR331361	2.3.4	46.681	PASS		Typhi_3.4.0	3.4.0		
ERR340804	2.3.4	104.403	PASS		Typhi_3.4.0	3.4.0		
ERR326673	2.3.4	45.865	PASS		Typhi_3.4.0	3.4.0		
ERR326685	2.3.4	33	PASS		Typhi_3.4.0	3.4.0		
ERR349406	2.3.4	28.735	PASS		Typhi_3.4.0	3.4.0		
ERR326680	2.3.4	48.8	PASS		Typhi_3.4.0	3.4.0		
ERR331326	2.3.4	40.928	PASS		Typhi_3.4.0	3.4.0		
ERR360747	2.3.4	34.309	PASS		Typhi_3.4.0	3.4.0		
ERR331356	2.3.4	51.203	PASS		Typhi_3.4.0	3.4.0		
ERR331302	2.3.4	47.472	PASS		Typhi_3.4.0	3.4.0		
ERR326657	2.3.4	56.529	PASS		Typhi_3.4.0	3.4.0		
ERR331343	2.3.4	47.282	PASS		Typhi_3.4.0	3.4.0		
ERR331365	2.3.4	47.765	PASS		Typhi_3.4.0	3.4.0		
ERR331359	2.3.4	47.197	PASS		Typhi_3.4.0	3.4.0		
ERR326683	2.3.4	52.971	PASS		Typhi_3.4.0	3.4.0		
ERR326663	2.3.4	52.315	PASS		Typhi_3.4.0	3.4.0		
ERR340780	2.3.4	84.646	PASS		Typhi_3.4.0	3.4.0		
ERR331360	2.3.4	46.397	PASS		Typhi_3.4.0	3.4.0		
ERR331350	2.3.4	39.549	PASS		Typhi_3.4.0	3.4.0		
ERR326674	2.3.4	44.676	PASS		Typhi_3.4.0	3.4.0		
ERR331300	2.3.4	47.783	PASS		Typhi_3.4.0	3.4.0		
ERR340779	2.3.4	121.829	PASS		Typhi_3.4.0	3.4.0		
ERR349351	2.3.4	29.382	PASS		Typhi_3.4.0	3.4.0		
ERR349537	2.3.4	35.71	PASS		Typhi_3.4.0	3.4.0		
ERR331322	2.3.4	50.456	PASS		Typhi_3.4.0	3.4.0		
ERR360649	2.3.4	37.855	PASS		Typhi_3.4.0	3.4.0		
ERR326679	2.3.4	52.493	PASS		Typhi_3.4.0	3.4.0		
ERR331342	2.3.4	45.197	PASS		Typhi_3.4.0	3.4.0		
ERR357646	2.3.4	48.324	PASS		Typhi_3.4.0	3.4.0		
ERR340777	2.3.4	103.096	PASS		Typhi_3.4.0	3.4.0		
ERR331355	2.3.4	47.736	PASS		Typhi_3.4.0	3.4.0		
ERR326677	2.3.4	48.11	PASS		Typhi_3.4.0	3.4.0		
ERR326671	2.3.4	50.449	PASS		Typhi_3.4.0	3.4.0		
ERR331340	2.3.4	48.623	PASS		Typhi_3.4.0	3.4.0		
ERR326681	2.3.4	43.493	PASS		Typhi_3.4.0	3.4.0		
ERR326670	2.3.4	52.915	PASS		Typhi_3.4.0	3.4.0		
ERR331329	2.3.4	52.569	PASS		Typhi_3.4.0	3.4.0		
ERR340781	2.3.4	90.027	PASS		Typhi_3.4.0	3.4.0		
ERR326669	2.3.4	45.485	PASS		Typhi_3.4.0	3.4.0		
ERR349390	2.3.5	36.456	PASS		Typhi_3.5.0	3.5.0		
ERR352311	2.3.5	41.926	PASS		Typhi_3.5.0	3.5.0		
ERR360696	2.3.5	40.5	PASS		Typhi_3.5.0	3.5.0		
ERR213262	2.3.5	163.732	FAIL	"FAIL:  | FAIL: Mixed subtypes found: ""0; 0.1; 2; 2.3; 2.3.5""."	Typhi_3.5.0	3.5.0	2.3.5 (3.5.0; 201X)	0.1 (0.1.0; 8X)
ERR352501	2.3.5.1	46.13	PASS		Typhi_3.5.1	3.5.1		
ERR331309	2.3.5.2	42.62	PASS		Typhi_3.5.2	3.5.2		
ERR331312	2.3.5.2	38.972	PASS		Typhi_3.5.2	3.5.2		
ERR331314	2.3.5.2	42.877	PASS		Typhi_3.5.2	3.5.2		
ERR331315	2.3.5.2	39.465	PASS		Typhi_3.5.2	3.5.2		
ERR331313	2.3.5.2	52.571	PASS		Typhi_3.5.2	3.5.2		
ERR338110	2.3.5.4	57.915	PASS		Typhi_3.5.4	3.5.4		
ERR343313	2.3.5.4	24.294	PASS		Typhi_3.5.4	3.5.4		
ERR357759	2.3.5.4	41.324	PASS		Typhi_3.5.4	3.5.4		
ERR352334	2.3.5.4	45.214	PASS		Typhi_3.5.4	3.5.4		
ERR357605	2.3.5.4	39.412	PASS		Typhi_3.5.4	3.5.4		
ERR352261	2.3.5.4	41.221	PASS		Typhi_3.5.4	3.5.4		
ERR338117	2.3.5.4	62.043	PASS		Typhi_3.5.4	3.5.4		
ERR338081	2.3.5.4	51.169	PASS		Typhi_3.5.4	3.5.4		
ERR338086	2.3.5.4	58.986	PASS		Typhi_3.5.4	3.5.4		
ERR352484	2.3.5.4	44.087	PASS		Typhi_3.5.4	3.5.4		
ERR343296	2.3.5.4	29.6	PASS		Typhi_3.5.4	3.5.4		
ERR352479	2.3.5.4	47.873	PASS		Typhi_3.5.4	3.5.4		
ERR357627	2.3.5.4	42.13	PASS		Typhi_3.5.4	3.5.4		
ERR338112	2.3.5.4	51.915	PASS		Typhi_3.5.4	3.5.4		
ERR352429	2.3.5.4	46.507	PASS		Typhi_3.5.4	3.5.4		
ERR338120	2.3.5.4	60.113	PASS		Typhi_3.5.4	3.5.4		
ERR338070	2.3.5.4	65.958	PASS		Typhi_3.5.4	3.5.4		
ERR338094	2.3.5.4	59.324	PASS		Typhi_3.5.4	3.5.4		
ERR338080	2.3.5.4	58.029	PASS		Typhi_3.5.4	3.5.4		
ERR338103	2.3.5.4	48.959	PASS		Typhi_3.5.4	3.5.4		
ERR343310	2.3.5.4	27.319	PASS		Typhi_3.5.4	3.5.4		
ERR357835	2.3.5.4	39.706	PASS		Typhi_3.5.4	3.5.4		
ERR343255	2.3.5.4	24	PASS		Typhi_3.5.4	3.5.4		
ERR338092	2.3.5.4	61.274	PASS		Typhi_3.5.4	3.5.4		
ERR343274	2.3.5.4	28.294	PASS		Typhi_3.5.4	3.5.4		
ERR338082	2.3.5.4	57.057	PASS		Typhi_3.5.4	3.5.4		
ERR338074	2.3.5.4	54.25	PASS		Typhi_3.5.4	3.5.4		
ERR338075	2.3.5.4	54.275	PASS		Typhi_3.5.4	3.5.4		
ERR338114	2.3.5.4	56.743	PASS		Typhi_3.5.4	3.5.4		
ERR338079	2.3.5.4	52.696	PASS		Typhi_3.5.4	3.5.4		
ERR343311	2.3.5.4	23.714	PASS		Typhi_3.5.4	3.5.4		
ERR357598	2.3.5.4	45.819	PASS		Typhi_3.5.4	3.5.4		
ERR338105	2.3.5.4	53.63	PASS		Typhi_3.5.4	3.5.4		
ERR357760	2.3.5.4	42.838	PASS		Typhi_3.5.4	3.5.4		
ERR338115	2.3.5.4	58.386	PASS		Typhi_3.5.4	3.5.4		
ERR338119	2.3.5.4	51.452	PASS		Typhi_3.5.4	3.5.4		
ERR338101	2.3.5.4	64.643	PASS		Typhi_3.5.4	3.5.4		
ERR338088	2.3.5.4	61.169	PASS		Typhi_3.5.4	3.5.4		
ERR343299	2.3.5.4	23.739	PASS		Typhi_3.5.4	3.5.4		
ERR338077	2.3.5.4	54.394	PASS		Typhi_3.5.4	3.5.4		
ERR343267	2.3.5.4	21.826	PASS		Typhi_3.5.4	3.5.4		
ERR343283	2.3.5.4	29.044	PASS		Typhi_3.5.4	3.5.4		
ERR343278	2.3.5.4	25.353	PASS		Typhi_3.5.4	3.5.4		
ERR338104	2.3.5.4	63.208	PASS		Typhi_3.5.4	3.5.4		
ERR343304	2.3.5.4	27.391	PASS		Typhi_3.5.4	3.5.4		
ERR338113	2.3.5.4	63.11	PASS		Typhi_3.5.4	3.5.4		
ERR338084	2.3.5.4	52.863	PASS		Typhi_3.5.4	3.5.4		
ERR343280	2.3.5.4	26.449	PASS		Typhi_3.5.4	3.5.4		
ERR357440	2.3.5.4	51.127	PASS		Typhi_3.5.4	3.5.4		
ERR338098	2.3.5.4	52.64	PASS		Typhi_3.5.4	3.5.4		
ERR343316	2.3.5.4	26.412	PASS		Typhi_3.5.4	3.5.4		
ERR338122	2.3.5.4	61.514	PASS		Typhi_3.5.4	3.5.4		
ERR352292	2.3.5.4	31.941	PASS		Typhi_3.5.4	3.5.4		
ERR352431	2.3.5.4	47.507	PASS		Typhi_3.5.4	3.5.4		
ERR338107	2.3.5.4	57.597	PASS		Typhi_3.5.4	3.5.4		
ERR338090	2.3.5.4	60.583	PASS		Typhi_3.5.4	3.5.4		
ERR338108	2.3.5.4	64.6	PASS		Typhi_3.5.4	3.5.4		
ERR338093	2.3.5.4	74.275	PASS		Typhi_3.5.4	3.5.4		
ERR338124	2.3.5.4	52.819	PASS		Typhi_3.5.4	3.5.4		
ERR338106	2.3.5.4	58.11	PASS		Typhi_3.5.4	3.5.4		
ERR338085	2.3.5.4	52.789	PASS		Typhi_3.5.4	3.5.4		
ERR338100	2.3.5.4	58.928	PASS		Typhi_3.5.4	3.5.4		
ERR338111	2.3.5.4	54.329	PASS		Typhi_3.5.4	3.5.4		
ERR338078	2.3.5.4	61.264	PASS		Typhi_3.5.4	3.5.4		
ERR338125	2.3.5.4	56.971	PASS		Typhi_3.5.4	3.5.4		
ERR338076	2.3.5.4	48.183	PASS		Typhi_3.5.4	3.5.4		
ERR357593	2.3.5.4	41.986	PASS		Typhi_3.5.4	3.5.4		
ERR338083	2.3.5.4	52.431	PASS		Typhi_3.5.4	3.5.4		
ERR338087	2.3.5.4	57.736	PASS		Typhi_3.5.4	3.5.4		
ERR343298	2.3.5.4	23.075	PASS		Typhi_3.5.4	3.5.4		
ERR338097	2.3.5.4	61.643	PASS		Typhi_3.5.4	3.5.4		
ERR338073	2.3.5.4	64.8	PASS		Typhi_3.5.4	3.5.4		
ERR352480	2.3.5.4	45.855	PASS		Typhi_3.5.4	3.5.4		
ERR338116	2.3.5.4	62.145	PASS		Typhi_3.5.4	3.5.4		
ERR357758	2.3.5.4	45.868	PASS		Typhi_3.5.4	3.5.4		
ERR338096	2.3.5.4	59.446	PASS		Typhi_3.5.4	3.5.4		
ERR352481	2.3.5.4	43.884	PASS		Typhi_3.5.4	3.5.4		
ERR357839	2.3.5.4	37.103	PASS		Typhi_3.5.4	3.5.4		
ERR338095	2.3.5.4	53.219	PASS		Typhi_3.5.4	3.5.4		
ERR352437	2.3.5.4	53.667	PASS		Typhi_3.5.4	3.5.4		
ERR343276	2.3.5.4	24.029	PASS		Typhi_3.5.4	3.5.4		
ERR338118	2.3.5.4	58.057	PASS		Typhi_3.5.4	3.5.4		
ERR357781	2.3.5.4	40.853	PASS		Typhi_3.5.4	3.5.4		
ERR357468	2.3.5.4	49.956	PASS		Typhi_3.5.4	3.5.4		
ERR338072	2.3.5.4	57.275	PASS		Typhi_3.5.4	3.5.4		
ERR343297	2.3.5.4	27.588	PASS		Typhi_3.5.4	3.5.4		
ERR352485	2.3.5.4	46.132	PASS		Typhi_3.5.4	3.5.4		
ERR338123	2.3.5.4	56.347	PASS		Typhi_3.5.4	3.5.4		
ERR343284	2.3.5.4	27.942	PASS		Typhi_3.5.4	3.5.4		
ERR357617	2.3.5.4	36.779	PASS		Typhi_3.5.4	3.5.4		
ERR357840	2.3.5.4	38.899	PASS		Typhi_3.5.4	3.5.4		
ERR343292	2.3.5.4	27.058	PASS		Typhi_3.5.4	3.5.4		
ERR357816	2.3.5.4	37.826	PASS		Typhi_3.5.4	3.5.4		
ERR338091	2.3.5.4	72	PASS		Typhi_3.5.4	3.5.4		
ERR338071	2.3.5.4	51.286	PASS		Typhi_3.5.4	3.5.4		
ERR338089	2.3.5.4	56.069	PASS		Typhi_3.5.4	3.5.4		
ERR352430	2.3.5.4	48.838	PASS		Typhi_3.5.4	3.5.4		
ERR357624	2.3.5.4	38.882	PASS		Typhi_3.5.4	3.5.4		
ERR357799	2.3.5.4	42.353	PASS		Typhi_3.5.4	3.5.4		
ERR338102	2.3.5.4	53.775	PASS		Typhi_3.5.4	3.5.4		
ERR338127	2.3.5.4	60.288	PASS		Typhi_3.5.4	3.5.4		
