accession	snippy_bam_mean_depth	bases	estimated_raw_sequence_coverage	BioHansel_k-mer_coverage	sistr_serovar	coverage_enterobase
ERR1764789	66.9435677	327611500	72.80255556	50.478	Typhi	71
ERR1788816	44.29965688	216668500	48.14855556	32.176	Typhi	45
ERR1764374	65.26098801	322068250	71.57072222	44.942	Typhi	67
ERR349486	53.93145488	263619200	58.58204444	36.132	Typhi	55.77
ERR331315	66.98840204	346163400	76.9252	39.465	Typhi	73.26
ERR1764871	72.1830144	352773250	78.39405556	51.643	Typhi	74
ERR1791796	77.48874546	379595500	84.35455556	58.206	Typhi	80
ERR662778	201.9832291	1005348400	223.4107556	123.554	Typhi	209.83
ERR586891	104.3868565	544609000	121.0242222	68.338	Typhi	110
ERR360636	63.72383244	326805200	72.62337778	43.721	Typhi	68
ERR352640	53.39531615	270383600	60.08524444	36.29	Typhi	55
ERR1764536	70.13496881	343563250	76.34738889	48.465	Typhi	72
ERR1837222	132.3919575	650218500	144.493	91.653	Typhi	137
ERR2030248	49.32268768	244145050	54.25445556	28.986	Typhi	51
ERR360433	54.28552951	269529800	59.89551111	36.985	Typhi	59
ERR338039	82.02516595	406210200	90.26893333	53.2	Typhi	85.57
ERR352871	56.61078486	276688200	61.48626667	39.362	Typhi	56.93
ERR314346	94.28261542	466692400	103.7094222	58.239	Typhi	99
ERR1764767	61.75599418	314609250	69.91316667	44.015	Typhi	65
ERR349395	49.45211671	240332400	53.4072	34.397	Typhi	52.16
ERR213263	279.5448523	1408073200	312.9051556	175.452	Typhi	297
ERR1791765	75.96940177	372173500	82.70522222	54.729	Typhi	78
ERR360576	52.41659713	258575600	57.46124444	35.348	Typhi	54.26
ERR1764868	60.21677271	292646750	65.03261111	44.353	Typhi	62
ERR326677	74.49467305	371780600	82.61791111	48.11	Typhi	78
ERR2213818	168.8465897	833714750	185.2699444	106.592	Typhi	175
ERR1764754	76.31009285	373652000	83.03377778	54.456	Typhi	78
ERR1791795	79.20636564	387847000	86.18822222	58.324	Typhi	82
ERR331389	58.44408371	295122000	65.58266667	39.014	Typhi	60.77
ERR1791818	66.72363365	327674500	72.81655556	46.472	Typhi	68
ERR460352	96.83704367	480467600	106.7705778	64.13	Typhi	103.77
ERR331220	104.0910455	525367600	116.7483556	68.309	Typhi	112
ERR1010045	84.1602221	420320400	93.40453333	53.444	Typhi	86
ERR357809	63.37245981	312085400	69.35231111	43.897	Typhi	65.86
ERR460330	94.69252035	473283000	105.174	59.127	Typhi	101.13
ERR357558	57.01023448	284628800	63.25084444	39.42	Typhi	60.07
ERR460344	82.78149742	412565000	91.68111111	54.071	Typhi	85.75
ERR279154	122.1864972	603593400	134.1318667	74.72	Typhi	128.2
ERR279217	61.30147761	309169400	68.70431111	41.072	Typhi	65
ERR343256	39.66240892	194021800	43.11595556	26.515	Typhi	41.78
ERR1791831	62.41214717	309397000	68.75488889	44.729	Typhi	64
ERR337990	66.47074102	351969200	78.21537778	43.676	Typhi	73
ERR1764716	62.63689321	317131500	70.47366667	44.841	Typhi	64
ERR314362	94.34032801	467562000	103.9026667	60	Typhi	99
ERR1764713	72.17746609	352840250	78.40894444	51.186	Typhi	74
ERR1082898	156.9152997	773148500	171.8107778	113.563	Typhi	165
ERR1764756	77.54306985	379342250	84.29827778	53.792	Typhi	80
ERR1764748	71.52729705	352585500	78.35233333	52.3	Typhi	73
ERR349374	50.17949955	243614200	54.13648889	32.681	Typhi	54
ERR314380	102.6740171	514458800	114.3241778	63.444	Typhi	109
ERR2789310	198.4753056	995154500	221.1454444	135.329	Typhi	206
ERR360425	54.75632398	273469600	60.77102222	37.058	Typhi	59.22
ERR422818	58.88832816	289402600	64.31168889	40.029	Typhi	61.13
ERR352559	67.17835109	328962600	73.1028	46.029	Typhi	72
ERR1764717	54.55300947	267852250	59.52272222	38.928	Typhi	56
ERR326634	87.5602211	443788600	98.61968889	56.257	Typhi	97
ERR1764858	66.26056027	324823000	72.18288889	48.515	Typhi	68
ERR326667	84.56339492	427520000	95.00444444	61.353	Typhi	91
ERR360522	54.80778127	271303800	60.28973333	37.099	Typhi	57.35
ERR460345	89.46689992	446707000	99.26822222	56.958	Typhi	93
ERR1764539	59.24667413	290318250	64.51516667	41.485	Typhi	61
ERR1791775	65.44915375	320127000	71.13933333	47.897	Typhi	67
ERR352290	54.17197539	266968600	59.32635556	34.729	Typhi	57
ERR360426	54.26197906	292013400	64.89186667	38.045	Typhi	62
ERR1764564	65.1973418	318729750	70.82883333	45.986	Typhi	67
ERR1764663	70.38662002	352950250	78.43338889	49.71	Typhi	73
ERR1764758	77.09298681	377289500	83.84211111	55.671	Typhi	79
ERR337996	63.66862659	318834600	70.85213333	42.056	Typhi	68
ERR1764788	64.17401738	313093000	69.57622222	45.725	Typhi	66
ERR586911	91.84333558	453103400	100.6896444	58.528	Typhi	96
ERR1764878	73.6419227	358057000	79.56822222	55	Typhi	76
ERR1764698	72.12352411	353407000	78.53488889	52.471	Typhi	74
ERR1764706	82.67040865	404905750	89.97905556	58.884	Typhi	85
ERR279177	122.4107891	607118400	134.9152	80.931	Typhi	128.01
ERR1788778	49.93771393	244426750	54.31705556	37.294	Typhi	51
ERR360384	51.09517872	252192400	56.04275556	35.147	Typhi	55
ERR1764665	66.61954254	326578500	72.573	46.821	Typhi	69
ERR460236	95.81610206	477090200	106.0200444	62.043	Typhi	99.51
ERR360672	63.31965256	317029000	70.45088889	43.493	Typhi	67.3
ERR357477	69.59482844	341626600	75.91702222	47.559	Typhi	72.32
ERR1764666	71.97927756	349979000	77.77311111	51.559	Typhi	73
ERR360967	126.2508702	661791400	147.0647556	84.657	Typhi	135.33
ERR353331	83.71838021	411501200	91.44471111	57.754	Typhi	86.51
ERR360729	44.84182447	220014200	48.89204444	31.956	Typhi	47.51
ERR1010145	86.58390942	427884200	95.08537778	58	Typhi	89
ERR1791770	62.18749596	302254500	67.16766667	47.343	Typhi	64
ERR1764812	68.64327141	336204500	74.71211111	49.348	Typhi	70
ERR1764555	62.81404676	307804750	68.40105556	44.942	Typhi	64
ERR1791832	66.2259182	325400250	72.31116667	47.986	Typhi	68
ERR1791783	73.47855777	357086500	79.35255556	53.826	Typhi	76
ERR343328	39.62613575	193800400	43.06675556	27.456	Typhi	1
ERR467090	86.67155275	453907200	100.8682667	58.609	Typhi	92.41
ERR360627	64.39351059	339839800	75.51995556	43.043	Typhi	70
ERR657377	112.6952743	561039200	124.6753778	75.971	Typhi	116.81
ERR360615	53.97904716	283465400	62.99231111	36.159	Typhi	58
ERR1764693	56.30033206	284533250	63.22961111	41.765	Typhi	59
ERR338016	73.53850698	361995800	80.44351111	48.928	Typhi	77
ERR352336	68.4448244	336487000	74.77488889	46.014	Typhi	73
ERR1764687	59.72626432	291930250	64.87338889	43.662	Typhi	61
ERR460243	77.25042477	383694800	85.26551111	49.408	Typhi	80.13
ERR331376	98.78283178	489473600	108.7719111	64.225	Typhi	103
ERR1764654	67.36530619	330227500	73.38388889	49.609	Typhi	69
ERR460331	100.9018847	510006000	113.3346667	64.07	Typhi	106
ERR657451	36.81091911	181181800	40.26262222	23.725	Typhi	38.09
ERR357444	67.71563829	332558600	73.90191111	46.884	Typhi	70.37
ERR439199	92.56832522	454760600	101.0579111	64.203	Typhi	98.99
ERR1764545	69.32533977	338553750	75.23416667	50	Typhi	71
ERR1791834	69.1935662	347291000	77.17577778	50.507	Typhi	73
ERR279111	94.64371224	465867600	103.5261333	63.514	Typhi	98.96
ERR1764725	59.2258866	289477250	64.32827778	43.754	Typhi	61
ERR360400	49.67292849	252253600	56.05635556	34.456	Typhi	54
ERR467105	94.79313987	485465400	107.8812	64.768	Typhi	100.63
ERR360778	55.32403868	281642600	62.58724444	36.757	Typhi	58
ERR352671	55.1147604	270170400	60.03786667	36.957	Typhi	59
ERR1556177	140.4597667	691585750	153.6857222	104.543	Typhi	146
ERR1764556	64.37532545	314795750	69.95461111	47	Typhi	66
ERR360584	66.10302021	332230800	73.82906667	45.942	Typhi	69.65
ERR331243	97.2045711	510568600	113.4596889	62.577	Typhi	107.73
ERR1837242	161.8991258	791972000	175.9937778	112.347	Typhi	168
ERR352890	67.45697091	329637000	73.25266667	46.912	Typhi	69.43
ERR360539	58.76142978	290388000	64.53066667	38.485	Typhi	62
ERR319418	79.79750229	392167000	87.14822222	51.362	Typhi	82.42
ERR338017	59.9982903	297473800	66.10528889	37.847	Typhi	63
ERR1764721	69.42685968	338341250	75.18694444	49.71	Typhi	72
ERR1764692	59.6958441	291867250	64.85938889	44.074	Typhi	61
ERR586725	90.51170037	455295000	101.1766667	58.394	Typhi	94
ERR1764561	85.03953265	416059250	92.45761111	62	Typhi	87
ERR1837202	168.6925854	831645750	184.8101667	124.045	Typhi	175
ERR314383	97.02648701	487441600	108.3203556	60.178	Typhi	103
ERR357427	58.15827763	287959400	63.99097778	39.544	Typhi	60.64
ERR1764874	66.57266247	327267250	72.72605556	47.647	Typhi	68
ERR326653	104.3781038	522377000	116.0837778	66.466	Typhi	110
ERR314361	93.85535482	474349200	105.4109333	59.366	Typhi	101
ERR212647	72.16077522	358068800	79.57084444	47.069	Typhi	76.46
ERR360506	62.25128794	307443800	68.32084444	42.721	Typhi	65.43
ERR326608	78.57613822	401495400	89.2212	48.069	Typhi	85
ERR360686	56.44837605	293740600	65.27568889	40.882	Typhi	61
ERR349535	50.92391367	256591200	57.02026667	32.739	Typhi	53.09
ERR352299	55.14142956	279978800	62.21751111	36.971	Typhi	60
ERR326663	84.6498877	421071600	93.57146667	52.315	Typhi	89
ERR314363	100.2513189	496310600	110.2912444	62.658	Typhi	105
ERR1764718	56.81945304	277622250	61.69383333	39.478	Typhi	58
ERR460350	99.48732355	493209000	109.602	61.917	Typhi	103.75
ERR357768	58.98799947	289737400	64.38608889	39.926	Typhi	62
ERR360487	45.50387032	229901000	51.08911111	30.754	Typhi	49
ERR331329	82.5856946	407525600	90.56124444	52.569	Typhi	86
ERR349439	47.65325615	233204200	51.82315556	33.058	Typhi	47.98
ERR460252	90.39417517	449778200	99.95071111	57.535	Typhi	93.83
ERR338162	74.00269326	393883600	87.52968889	51.129	Typhi	83
ERR1791840	64.07767834	320412000	71.20266667	46.868	Typhi	67
ERR314366	91.33969691	454039200	100.8976	60.441	Typhi	95.65
ERR338052	72.07814018	371542200	82.56493333	45.671	Typhi	78.29
ERR1764566	58.59833268	287829000	63.962	41.667	Typhi	60
ERR1764575	57.65696438	281735250	62.60783333	42.725	Typhi	59
ERR1764652	60.24259535	295178500	65.59522222	41.449	Typhi	62
ERR1764700	74.52571752	363592750	80.79838889	53.714	Typhi	77
ERR349376	42.59311022	207942400	46.20942222	27.971	Typhi	46
ERR357630	69.87812778	344305000	76.51222222	45.352	Typhi	72.1
ERR1764719	60.93368735	303280000	67.39555556	43.507	Typhi	63
ERR1764827	73.62065794	359447500	79.87722222	52.514	Typhi	76
ERR338029	73.8232432	362636200	80.58582222	47.366	Typhi	77.07
ERR338113	102.8793721	510196200	113.3769333	63.11	Typhi	107.9
ERR2789308	172.7705002	877546500	195.0103333	116.535	Typhi	180
ERR338152	99.14750105	516417400	114.7594222	64.169	Typhi	105
ERR352465	64.42292438	316892800	70.42062222	45.072	Typhi	70
ERR1764770	67.29297321	333995500	74.22122222	50.044	Typhi	69
ERR360656	69.28380152	346030600	76.89568889	48.75	Typhi	73.13
ERR338097	97.56764837	484047800	107.5661778	61.643	Typhi	102.38
ERR1764730	65.96302711	332379000	73.862	47.754	Typhi	70
ERR1764839	64.73449882	316695250	70.37672222	48.116	Typhi	67
ERR331361	63.98572188	343153000	76.25622222	46.681	Typhi	73
ERR357780	54.50934355	272837200	60.63048889	35.671	Typhi	57.55
ERR352338	62.76517294	308407600	68.53502222	41.855	Typhi	65.28
ERR338050	78.80479834	394177400	87.59497778	54.043	Typhi	85.65
ERR1764568	59.65847674	291650000	64.81111111	44.588	Typhi	61
ERR1764712	77.1246628	376984000	83.77422222	58.118	Typhi	79
ERR1791784	77.41820202	377285250	83.84116667	56.275	Typhi	79
ERR1791848	71.9391059	355361250	78.96916667	51.956	Typhi	74
ERR338135	94.29519112	487327200	108.2949333	56.684	Typhi	98.59
ERR1764672	66.52253954	327139750	72.69772222	48.118	Typhi	68
ERR357578	78.51024457	391708200	87.04626667	51.739	Typhi	83
ERR338009	73.69121136	361700200	80.37782222	46.239	Typhi	77
ERR360536	61.83231528	306028600	68.00635556	43.928	Typhi	65
ERR2789241	186.1172097	927491250	206.1091667	128.886	Typhi	194
ERR314365	103.0856758	512476800	113.8837333	71.544	Typhi	109
ERR1764559	67.54474316	330940000	73.54222222	47.829	Typhi	69
ERR360574	63.82995806	313861200	69.74693333	43.618	Typhi	66.11
ERR331358	66.95593712	331813200	73.73626667	43.394	Typhi	70
ERR338024	68.32366937	335750000	74.61111111	44.071	Typhi	71.19
ERR1764854	61.9680855	301187000	66.93044444	44.042	Typhi	64
ERR343301	38.11855139	186561400	41.45808889	25.779	Typhi	40
ERR1764811	66.63961142	326052500	72.45611111	47.493	Typhi	69
ERR352588	63.70225369	311497000	69.22155556	44.206	Typhi	67.67
ERR1764562	69.28184146	339550000	75.45555556	49.671	Typhi	71
ERR360618	59.71753825	294036600	65.34146667	41.884	Typhi	63
ERR1891573	60.29186883	300477000	66.77266667	42.072	Typhi	62
ERR360594	56.30759339	293002600	65.11168889	38.594	Typhi	60
ERR338011	72.73224203	359519400	79.8932	45.014	Typhi	76
ERR352316	53.11664622	261048800	58.01084444	35.544	Typhi	56
ERR1788784	42.94874504	211573500	47.01633333	31.58	Typhi	44
ERR352301	59.53395181	294277600	65.39502222	39.671	Typhi	63
ERR1764747	78.11135473	382566750	85.01483333	55.257	Typhi	80
ERR357810	64.38227799	318616200	70.8036	42.357	Typhi	69
ERR1791810	68.54115658	333196750	74.04372222	46.889	Typhi	70
ERR594562	93.91152719	567050877	126.011306	81.588	Typhi	116
ERR1791861	77.79890506	381650500	84.81122222	55.972	Typhi	80
ERR279110	103.8825407	511762000	113.7248889	65.527	Typhi	108.7
ERR352483	76.18571556	377819000	83.95977778	53.059	Typhi	80
ERR1764843	67.08103057	327304000	72.73422222	49	Typhi	69
ERR1764531	68.77456609	336939250	74.87538889	49.794	Typhi	71
ERR1764881	59.20442762	289971500	64.43811111	43.794	Typhi	61
ERR460322	106.5025376	529785000	117.73	67.324	Typhi	110.85
ERR331226	83.02243755	420528000	93.45066667	55.169	Typhi	89.64
ERR1764557	70.1097752	342763500	76.16966667	50.412	Typhi	72
ERR591100	97.69139227	507356000	112.7457778	62.338	Typhi	99.48
ERR586796	107.7855277	533367800	118.5261778	68.493	Typhi	110.93
ERR349363	47.34649266	236301800	52.51151111	30.838	Typhi	48.99
ERR338027	72.60438566	359627200	79.91715556	46.391	Typhi	75.78
ERR349411	46.95298664	230396000	51.19911111	32.338	Typhi	49.88
ERR338128	97.59359119	485192800	107.8206222	61.614	Typhi	102.17
ERR353339	71.76570465	355515400	79.00342222	49.471	Typhi	73.79
ERR1556249	232.9536961	1156237000	256.9415556	161.216	Typhi	243
ERR1764840	66.4813001	323170250	71.81561111	48.382	Typhi	68
ERR1764708	74.72383827	368200750	81.82238889	52.183	Typhi	77
ERR1764553	78.49619144	383987500	85.33055556	55.75	Typhi	81
ERR439178	87.04439496	432943000	96.20955556	55.792	Typhi	91
ERR1764880	66.84151484	327092000	72.68711111	48.971	Typhi	69
ERR314360	101.0932058	505288000	112.2862222	66.214	Typhi	106.3
ERR352417	64.80550139	318291000	70.73133333	45.765	Typhi	67
ERR1764885	70.47980562	342591750	76.1315	50.088	Typhi	72
ERR731345	83.68226092	413612200	91.91382222	54.282	Typhi	88
ERR1764658	71.56925389	349866000	77.748	50.797	Typhi	73
ERR357803	63.28253702	312579200	69.46204444	42.145	Typhi	65.81
ERR338091	115.4795492	573350400	127.4112	72	Typhi	121.21
ERR338146	96.65919331	479031600	106.4514667	62.069	Typhi	101.19
ERR357798	63.48000379	314482000	69.88488889	42.871	Typhi	67.31
ERR337983	69.0002017	362270200	80.50448889	40.103	Typhi	77
ERR2789253	164.7796457	835060250	185.5689444	119.382	Typhi	172
ERR338044	79.39209097	389896800	86.64373333	51.606	Typhi	82.8
ERR1764546	68.93017375	337844750	75.07661111	49.652	Typhi	71
ERR326676	77.84495274	394423200	87.6496	54.029	Typhi	84
ERR360462	58.08157288	288957600	64.2128	40.809	Typhi	60.98
ERR360513	52.77603499	278018600	61.78191111	36.029	Typhi	56.54
ERR279139	82.19399123	409090200	90.90893333	53.7	Typhi	86.34
ERR1764823	64.51491328	324391000	72.08688889	47.362	Typhi	67
ERR1010040	127.8605313	642337000	142.7415556	83.435	Typhi	132
ERR360541	63.06719557	309276200	68.72804444	43.159	Typhi	66
ERR1791805	71.57170282	348533250	77.45183333	51.203	Typhi	73
ERR349569	53.91403206	263358400	58.52408889	36.391	Typhi	54.9
ERR1764757	73.19737715	370525500	82.339	53.797	Typhi	75
ERR360950	60.90163228	314202400	69.82275556	42.362	Typhi	65
ERR1764657	69.30940165	338365000	75.19222222	50.652	Typhi	71
ERR331334	72.27046704	367114800	81.58106667	51.435	Typhi	78
ERR352558	62.44754262	308357800	68.52395556	42.809	Typhi	67
ERR1788907	54.50468524	264263250	58.72516667	41.319	Typhi	56
ERR586899	97.46941643	525777800	116.8395111	65.261	Typhi	105
ERR326682	84.17981479	424325000	94.29444444	55.365	Typhi	90
ERR1791767	70.24104618	342882750	76.19616667	50	Typhi	72
ERR1788749	55.60675682	270289500	60.06433333	40.754	Typhi	57
ERR331309	65.35439902	323538800	71.89751111	42.62	Typhi	68.37
ERR422745	56.9536978	278391200	61.86471111	38.574	Typhi	58.66
ERR338036	66.73979385	337287200	74.95271111	42.69	Typhi	70.97
ERR1791778	61.32464275	301506250	67.00138889	43.286	Typhi	63
ERR213272	327.1598634	1644277200	365.3949333	200.892	Typhi	347
ERR1764679	64.70144064	315936750	70.20816667	46.754	Typhi	66
ERR1764771	66.70031256	327686250	72.81916667	48.657	Typhi	69
ERR337979	85.94279666	442175800	98.26128889	56.648	Typhi	91
ERR1791786	83.22902049	412110500	91.58011111	63.088	Typhi	86
ERR1791859	78.80061829	384208500	85.37966667	57.943	Typhi	81
ERR331248	99.3819091	515346600	114.5214667	60.243	Typhi	107.98
ERR279190	92.66648895	455729800	101.2732889	60.486	Typhi	96.81
ERR331257	80.4179685	418024400	92.89431111	52.188	Typhi	88.13
ERR1788772	47.35013247	229559750	51.01327778	35.014	Typhi	49
ERR1764775	57.69744629	282715750	62.82572222	42.559	Typhi	59
ERR460346	93.61323296	466068800	103.5708444	62.814	Typhi	99.4
ERR357478	69.85906763	345122400	76.69386667	48.551	Typhi	74
ERR1764653	64.79317273	320706250	71.26805556	46.304	Typhi	66
ERR352339	59.01007249	295594400	65.68764444	38.609	Typhi	63
ERR349412	43.88098095	215696800	47.93262222	28.014	Typhi	46.82
ERR279161	111.4503005	548198600	121.8219111	73.205	Typhi	116.45
ERR1764745	59.95642558	292431250	64.98472222	44.824	Typhi	61
ERR279169	121.2135845	615119200	136.6931556	83.681	Typhi	125.58
ERR1764799	61.03469697	296680250	65.92894444	44.214	Typhi	63
ERR338035	85.81261966	423318400	94.07075556	54.901	Typhi	89.8
ERR343316	38.09309889	186026000	41.33911111	26.412	Typhi	40
ERR331323	75.44680047	371224800	82.4944	50.113	Typhi	78.9
ERR338132	94.83497008	490086600	108.9081333	60.333	Typhi	99.11
ERR326607	83.49506315	432639400	96.14208889	56.9	Typhi	92
ERR586890	98.93604083	519501800	115.4448444	63.861	Typhi	104
ERR360503	55.05229217	274010000	60.89111111	36.623	Typhi	57.74
ERR1764533	71.31653905	353792750	78.62061111	49.771	Typhi	74
ERR319495	56.11420727	288983200	64.21848889	38.343	Typhi	59
ERR1764710	72.55924814	354632250	78.80716667	53.074	Typhi	75
ERR1764655	68.90079469	334919500	74.42655556	50.928	Typhi	71
ERR360650	55.17764742	272128200	60.47293333	36.648	Typhi	58
ERR349405	41.91389856	205194000	45.59866667	26.914	Typhi	44.56
ERR331349	67.46266248	340620800	75.69351111	46.412	Typhi	72
ERR1764551	67.61201671	330580750	73.46238889	49.188	Typhi	69
ERR1791804	74.56301376	366300250	81.40005556	55.271	Typhi	77
ERR460341	89.46436802	446846000	99.29911111	57.5	Typhi	92.79
ERR314318	93.81526863	467818000	103.9595556	56.603	Typhi	99
ERR352475	67.06881731	328061800	72.90262222	43.925	Typhi	71
ERR352458	69.1115662	339883800	75.52973333	46.174	Typhi	71.89
ERR1764726	57.65136055	283971500	63.10477778	42.382	Typhi	59
ERR422790	49.31212382	243915000	54.20333333	33.565	Typhi	51.34
ERR1788819	45.4514434	220183750	48.92972222	32.725	Typhi	46
ERR586898	96.15287697	512383800	113.8630667	61.2	Typhi	102
ERR338077	84.8094841	420789200	93.50871111	54.394	Typhi	88.96
ERR338122	98.74448835	499055400	110.9012	61.514	Typhi	103.25
ERR1764705	77.96978189	381883750	84.86305556	58.942	Typhi	80
ERR360649	55.47232325	282170800	62.70462222	37.855	Typhi	59.29
ERR1764541	72.0369783	359499000	79.88866667	54.426	Typhi	74
ERR331275	90.47372665	456630800	101.4735111	55.944	Typhi	96.55
ERR360626	49.65505547	245684200	54.59648889	32.725	Typhi	52
ERR338001	68.37694241	336069000	74.682	44.2	Typhi	72
ERR1791807	72.82536816	353713750	78.60305556	53.647	Typhi	75
ERR1764834	72.18839614	352618000	78.35955556	52.319	Typhi	74
ERR467095	99.81751981	517368000	114.9706667	62.107	Typhi	108.13
ERR460335	98.31046548	493623000	109.694	61.333	Typhi	103
ERR662779	198.9257115	1023911600	227.5359111	127.319	Typhi	204.79
ERR352487	65.11042252	322504600	71.66768889	42.371	Typhi	67
ERR1764795	64.76268846	324023000	72.00511111	47.779	Typhi	67
ERR1764826	61.82566842	305469750	67.88216667	44.414	Typhi	63
ERR343359	42.59699208	208762600	46.39168889	28.956	Typhi	1
ERR357757	60.62847759	299023000	66.44955556	41.739	Typhi	63.07
ERR1010002	99.65268286	497817600	110.6261333	64.957	Typhi	102
ERR467086	73.10405243	381726800	84.82817778	49.406	Typhi	79.62
ERR338033	64.1876438	317780200	70.61782222	39.64	Typhi	67.62
ERR1791788	63.14536486	310118500	68.91522222	46.294	Typhi	65
ERR360382	58.34145173	294627200	65.47271111	40.544	Typhi	63.27
ERR357463	67.85361019	333316600	74.07035556	44.38	Typhi	70.55
ERR460301	115.4524756	574660400	127.7023111	76.043	Typhi	119.12
ERR460337	93.12858624	464933600	103.3185778	58	Typhi	97
ERR360810	44.25163063	218001000	48.44466667	30.632	Typhi	45.89
ERR352467	65.85177635	325969200	72.4376	43.145	Typhi	69
ERR586740	72.25422553	394662200	87.70271111	47.913	Typhi	77.42
ERR422701	59.830187	295670200	65.70448889	41.855	Typhi	61.36
ERR360655	53.97289229	265513400	59.00297778	36.87	Typhi	56.43
ERR1791780	76.92663105	375596250	83.46583333	56.086	Typhi	79
ERR460342	88.37588149	438120200	97.36004444	57.886	Typhi	91.68
ERR1791798	69.69406827	338834000	75.29644444	50.333	Typhi	72
ERR331311	74.94245875	369627400	82.13942222	47.356	Typhi	78.55
ERR460336	91.95224158	456149800	101.3666222	59.029	Typhi	96
ERR360557	61.89027699	322132800	71.58506667	41.406	Typhi	66.13
ERR422838	50.43890139	249082400	55.35164444	33.926	Typhi	51.94
ERR1837160	163.8841121	809649750	179.9221667	110.778	Typhi	170
ERR349526	50.30428358	250395000	55.64333333	34.783	Typhi	51.33
ERR1010019	86.63131974	427276400	94.95031111	54.37	Typhi	89
ERR349381	45.33944863	231737600	51.49724444	28.652	Typhi	49
ERR352368	86.91845478	427783200	95.06293333	57.629	Typhi	89.37
ERR1764828	67.49107836	329903000	73.31177778	48.441	Typhi	69
ERR2059823	83.48994882	487902478	108.4227729	62.634	Typhi	100
ERR337998	75.84788888	372562000	82.79155556	49.809	Typhi	80
ERR357426	69.74067303	346159200	76.92426667	47.841	Typhi	71.94
ERR586736	91.81395672	455771400	101.2825333	58.111	Typhi	96
ERR2789278	169.0567003	870087000	193.3526667	118.957	Typhi	178
ERR1764766	72.79275185	356704000	79.26755556	54.441	Typhi	75
ERR1764820	63.00102827	311059250	69.12427778	45.609	Typhi	64
ERR1764674	75.62854621	370079000	82.23977778	55.382	Typhi	78
ERR1764773	65.74868981	326963750	72.65861111	46.836	Typhi	67
ERR1837193	173.532894	858723250	190.8273889	124.465	Typhi	182
ERR360408	49.67516428	246255200	54.72337778	34.333	Typhi	54
ERR594544	120.274263	609308541	135.401898	77.671	Typhi	123
ERR1764759	75.27065647	368151500	81.81144444	52.718	Typhi	77
ERR1764697	66.37912123	325219750	72.27105556	47.232	Typhi	68
ERR357473	66.95554474	327228200	72.71737778	45.985	Typhi	70
ERR1791794	79.80765317	393369750	87.4155	57.652	Typhi	82
ERR460333	109.6199268	547855000	121.7455556	70.486	Typhi	113.82
ERR591102	107.1237553	548438600	121.8752444	69.829	Typhi	109.65
ERR360402	50.63048174	250680000	55.70666667	35.1	Typhi	55
ERR331244	103.6778442	539894600	119.9765778	60.385	Typhi	113.92
ERR352585	64.86890577	317329200	70.5176	44.147	Typhi	68.65
ERR360961	67.58229517	357529000	79.45088889	42.897	Typhi	72.92
ERR331363	69.72553195	345258400	76.72408889	45.829	Typhi	74
ERR326671	74.9648938	368116400	81.80364444	50.449	Typhi	78
ERR357604	70.72848431	359227400	79.82831111	49.029	Typhi	73
ERR349632	52.53190316	258972000	57.54933333	36.246	Typhi	54.95
ERR1764750	64.02488482	313118500	69.58188889	46.926	Typhi	66
ERR591099	102.1271512	511591200	113.6869333	66.014	Typhi	105
ERR1837271	162.3470699	797772750	177.2828333	116	Typhi	168
ERR343309	37.89878909	185163600	41.14746667	24.632	Typhi	40
ERR108681	84.48250866	421491800	93.66484444	57.768	Typhi	89
ERR331219	102.0981361	537500800	119.4446222	64.027	Typhi	113.75
ERR1764538	64.45441073	315610500	70.13566667	45.348	Typhi	66
ERR352950	73.13763317	359273200	79.83848889	50.971	Typhi	77
ERR1764569	78.98649293	389626250	86.58361111	57.186	Typhi	81
ERR331371	70.83560305	350706600	77.9348	46.394	Typhi	74
ERR2789267	167.5247678	832776000	185.0613333	116.271	Typhi	174
ERR1764798	58.50915682	285088750	63.35305556	42.353	Typhi	60
ERR460348	103.4946712	526342000	116.9648889	67.873	Typhi	107.64
ERR338161	69.982452	383082800	85.12951111	45.901	Typhi	78
ERR331287	91.71521533	457154200	101.5898222	59.608	Typhi	96.64
ERR314372	59.34972158	294257000	65.39044444	37.329	Typhi	63
ERR360420	53.5901275	265122800	58.91617778	37.147	Typhi	58
ERR340782	134.9941716	675941400	150.2092	81.613	Typhi	141.55
ERR1791823	70.16770135	344958750	76.6575	51.662	Typhi	72
ERR1764565	61.09371585	298656250	66.36805556	43.721	Typhi	63
ERR1082892	143.042882	703195000	156.2655556	105.116	Typhi	148
ERR338071	79.19652666	405290200	90.06448889	51.286	Typhi	83.77
ERR1764787	67.64567438	330552250	73.45605556	48.809	Typhi	70
ERR331296	81.61986963	413163600	91.81413333	53.903	Typhi	85.06
ERR1837213	174.0675734	857877500	190.6394444	124.789	Typhi	180
ERR343279	39.69788484	193901400	43.0892	28.029	Typhi	1
ERR331256	224.9855984	1235866000	274.6368889	127.61	Typhi	260
ERR352277	57.81480866	289905000	64.42333333	39.169	Typhi	60.26
ERR226501	104.8674088	530145400	117.8100889	68.449	Typhi	108.28
ERR331233	85.42680354	439116200	97.58137778	56.183	Typhi	93
ERR343295	38.34321757	187451800	41.65595556	25.676	Typhi	39.62
ERR1791819	76.05727737	372134000	82.69644444	54.696	Typhi	78
ERR1837218	164.3824597	804067250	178.6816111	117.743	Typhi	170
ERR1764558	70.07664424	343632750	76.36283333	50.618	Typhi	72
